"MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","CARRIER","TAIL_NUM","FL_NUM","ORIGIN","DEST","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","CANCELLED","CANCELLATION_CODE","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","DISTANCE","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
3,13,7,2016-03-13,"AA","N835AW","1959","DCA","TPA","1935","2035",60.00,60.00,"2209","2255",46.00,46.00,0.00,"",154.00,140.00,117.00,814.00,0.00,0.00,0.00,0.00,46.00,
3,13,7,2016-03-13,"AA","N768US","1960","CLT","BWI","0940","0933",-7.00,0.00,"1110","1106",-4.00,0.00,0.00,"",90.00,93.00,62.00,361.00,,,,,,
3,17,4,2016-03-17,"AA","N270AY","771","PHL","SJU","1000","0958",-2.00,0.00,"1400","1325",-35.00,0.00,0.00,"",240.00,207.00,183.00,1576.00,,,,,,
3,17,4,2016-03-17,"AA","N270AY","772","SJU","PHL","1515","1520",5.00,5.00,"1916","1930",14.00,14.00,0.00,"",241.00,250.00,228.00,1576.00,,,,,,
3,17,4,2016-03-17,"AA","N118US","773","PHL","DEN","2050","2100",10.00,10.00,"2311","2306",-5.00,0.00,0.00,"",261.00,246.00,222.00,1558.00,,,,,,
3,17,4,2016-03-17,"AA","N971UY","774","DEN","PHL","0045","0044",-1.00,0.00,"0604","0548",-16.00,0.00,0.00,"",199.00,184.00,163.00,1558.00,,,,,,
3,17,4,2016-03-17,"AA","N826AW","775","CLT","MCI","1614","1609",-5.00,0.00,"1749","1745",-4.00,0.00,0.00,"",155.00,156.00,135.00,808.00,,,,,,
3,17,4,2016-03-17,"AA","N826AW","775","DCA","CLT","1345","1343",-2.00,0.00,"1515","1509",-6.00,0.00,0.00,"",90.00,86.00,61.00,331.00,,,,,,
3,17,4,2016-03-17,"AA","N507AY","777","DFW","LAS","1545","1545",0.00,0.00,"1640","1640",0.00,0.00,0.00,"",175.00,175.00,149.00,1055.00,,,,,,
3,17,4,2016-03-17,"AA","N507AY","777","LAS","DFW","1745","1739",-6.00,0.00,"2218","2206",-12.00,0.00,0.00,"",153.00,147.00,126.00,1055.00,,,,,,
3,17,4,2016-03-17,"AA","N668AW","778","IAH","PHX","0755","0747",-8.00,0.00,"0900","0917",17.00,17.00,0.00,"",185.00,210.00,145.00,1009.00,0.00,0.00,17.00,0.00,0.00,
3,17,4,2016-03-17,"AA","N668AW","778","PHX","SJC","0950","0957",7.00,7.00,"1148","1149",1.00,1.00,0.00,"",118.00,112.00,95.00,621.00,,,,,,
3,17,4,2016-03-17,"AA","N755US","779","PHX","DSM","1848","1857",9.00,9.00,"2335","2351",16.00,16.00,0.00,"",167.00,174.00,139.00,1150.00,9.00,0.00,7.00,0.00,0.00,
3,17,4,2016-03-17,"AA","N816AW","780","IND","PHX","1800","1807",7.00,7.00,"1903","1907",4.00,4.00,0.00,"",243.00,240.00,219.00,1488.00,,,,,,
